draw_date,n1,n2,n3,n4,n5,s1,s2,source_year,era,era_code,main_pool,star_pool,era_weight,main_numbers,star_numbers,zone_signature,star_zone_signature,sum,odd_count,even_count,low_count,high_count,ball_machine,ball_set,draw_order_1,draw_order_2,draw_order_3,draw_order_4,draw_order_5,star_order_1,star_order_2,source_url,metadata_status,fetched_at
2004-08-20,6,9,10,27,35,6,8,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[6, 9, 10, 27, 35]","[6, 8]",3-0-1-1-0,0-2-0,87,3,2,3,2,,,,,,,,,,,,
2004-08-27,1,11,22,28,44,1,9,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 11, 22, 28, 44]","[1, 9]",1-1-2-0-1,1-0-1,106,2,3,3,2,,,,,,,,,,,,
2004-09-03,8,12,14,15,34,6,7,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[8, 12, 14, 15, 34]","[6, 7]",1-3-0-1-0,0-2-0,83,1,4,4,1,,,,,,,,,,,,
2004-09-10,5,25,33,36,38,2,5,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[5, 25, 33, 36, 38]","[2, 5]",1-0-1-3-0,1-1-0,137,3,2,2,3,,,,,,,,,,,,
2004-09-17,15,18,29,39,41,5,8,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[15, 18, 29, 39, 41]","[5, 8]",0-2-1-1-1,0-2-0,142,4,1,2,3,,,,,,,,,,,,
2004-09-24,21,26,27,44,48,1,7,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[21, 26, 27, 44, 48]","[1, 7]",0-0-3-0-2,1-1-0,166,2,3,1,4,,,,,,,,,,,,
2004-10-01,12,20,21,45,48,5,6,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[12, 20, 21, 45, 48]","[5, 6]",0-2-1-0-2,0-2-0,146,2,3,3,2,,,,,,,,,,,,
2004-10-08,1,10,12,16,48,2,6,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 10, 12, 16, 48]","[2, 6]",2-2-0-0-1,1-1-0,87,1,4,4,1,,,,,,,,,,,,
2004-10-15,14,21,22,37,43,5,8,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[14, 21, 22, 37, 43]","[5, 8]",0-1-2-1-1,0-2-0,137,3,2,3,2,,,,,,,,,,,,
2004-10-22,1,9,23,25,40,3,9,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 9, 23, 25, 40]","[3, 9]",2-0-2-1-0,1-0-1,98,4,1,4,1,,,,,,,,,,,,
2004-10-29,1,8,32,35,38,4,9,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 8, 32, 35, 38]","[4, 9]",2-0-0-3-0,1-0-1,114,2,3,2,3,,,,,,,,,,,,
2004-11-05,6,19,25,42,49,1,7,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[6, 19, 25, 42, 49]","[1, 7]",1-1-1-0-2,1-1-0,141,3,2,3,2,,,,,,,,,,,,
2004-11-12,4,11,12,13,32,3,9,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[4, 11, 12, 13, 32]","[3, 9]",1-3-0-1-0,1-0-1,72,2,3,4,1,,,,,,,,,,,,
2004-11-19,1,18,29,34,37,2,6,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 18, 29, 34, 37]","[2, 6]",1-1-1-2-0,1-1-0,119,3,2,2,3,,,,,,,,,,,,
2004-11-26,1,4,24,34,36,6,8,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 4, 24, 34, 36]","[6, 8]",2-0-1-2-0,0-2-0,99,1,4,3,2,,,,,,,,,,,,
2004-12-03,1,11,15,42,49,3,4,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 11, 15, 42, 49]","[3, 4]",1-2-0-0-2,2-0-0,118,4,1,3,2,,,,,,,,,,,,
2004-12-10,1,3,13,16,43,2,7,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 3, 13, 16, 43]","[2, 7]",2-2-0-0-1,1-1-0,76,4,1,4,1,,,,,,,,,,,,
2004-12-17,15,19,22,46,49,2,9,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[15, 19, 22, 46, 49]","[2, 9]",0-2-1-0-2,1-0-1,151,3,2,3,2,,,,,,,,,,,,
2004-12-24,3,4,27,29,37,5,6,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 4, 27, 29, 37]","[5, 6]",2-0-2-1-0,0-2-0,100,4,1,2,3,,,,,,,,,,,,
2004-12-31,7,8,24,25,47,8,9,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[7, 8, 24, 25, 47]","[8, 9]",2-0-2-0-1,0-1-1,111,3,2,4,1,,,,,,,,,,,,
2005-01-07,3,23,27,47,50,2,3,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 23, 27, 47, 50]","[2, 3]",1-0-2-0-2,2-0-0,150,4,1,2,3,,,,,,,,,,,,
2005-01-14,6,11,14,19,29,1,3,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[6, 11, 14, 19, 29]","[1, 3]",1-3-1-0-0,2-0-0,79,3,2,4,1,,,,,,,,,,,,
2005-01-21,10,12,14,24,26,5,8,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[10, 12, 14, 24, 26]","[5, 8]",1-2-2-0-0,0-2-0,86,0,5,4,1,,,,,,,,,,,,
2005-01-28,7,21,26,43,45,5,7,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[7, 21, 26, 43, 45]","[5, 7]",1-0-2-0-2,0-2-0,142,4,1,2,3,,,,,,,,,,,,
2005-02-04,1,8,11,30,40,7,8,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 8, 11, 30, 40]","[7, 8]",2-1-1-1-0,0-2-0,90,2,3,3,2,,,,,,,,,,,,
2005-02-11,11,13,25,32,50,4,7,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[11, 13, 25, 32, 50]","[4, 7]",0-2-1-1-1,1-1-0,131,3,2,3,2,,,,,,,,,,,,
2005-02-18,20,21,26,32,46,8,9,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[20, 21, 26, 32, 46]","[8, 9]",0-1-2-1-1,0-1-1,145,1,4,2,3,,,,,,,,,,,,
2005-02-25,3,27,30,43,44,4,8,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 27, 30, 43, 44]","[4, 8]",1-0-2-0-2,1-1-0,147,3,2,1,4,,,,,,,,,,,,
2005-03-04,12,24,32,37,39,7,9,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[12, 24, 32, 37, 39]","[7, 9]",0-1-1-3-0,0-1-1,144,2,3,2,3,,,,,,,,,,,,
2005-03-11,8,12,23,40,43,1,4,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[8, 12, 23, 40, 43]","[1, 4]",1-1-1-1-1,2-0-0,126,2,3,3,2,,,,,,,,,,,,
2005-03-18,6,23,39,43,48,5,7,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[6, 23, 39, 43, 48]","[5, 7]",1-0-1-1-2,0-2-0,159,3,2,2,3,,,,,,,,,,,,
2005-03-25,4,29,33,37,38,6,9,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[4, 29, 33, 37, 38]","[6, 9]",1-0-1-3-0,0-1-1,141,3,2,1,4,,,,,,,,,,,,
2005-04-01,25,26,41,44,47,3,7,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[25, 26, 41, 44, 47]","[3, 7]",0-0-2-0-3,1-1-0,183,3,2,1,4,,,,,,,,,,,,
2005-04-08,7,11,25,31,50,1,3,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[7, 11, 25, 31, 50]","[1, 3]",1-1-1-1-1,2-0-0,124,4,1,3,2,,,,,,,,,,,,
2005-04-15,6,28,31,38,42,3,9,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[6, 28, 31, 38, 42]","[3, 9]",1-0-1-2-1,1-0-1,145,1,4,1,4,,,,,,,,,,,,
2005-04-22,3,10,13,24,47,5,9,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 10, 13, 24, 47]","[5, 9]",2-1-1-0-1,0-1-1,97,3,2,4,1,,,,,,,,,,,,
2005-04-29,3,9,35,39,42,1,8,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 9, 35, 39, 42]","[1, 8]",2-0-0-2-1,1-1-0,128,4,1,2,3,,,,,,,,,,,,
2005-05-06,7,12,21,26,44,6,8,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[7, 12, 21, 26, 44]","[6, 8]",1-1-2-0-1,0-2-0,110,2,3,3,2,,,,,,,,,,,,
2005-05-13,12,17,31,32,40,2,9,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[12, 17, 31, 32, 40]","[2, 9]",0-2-0-3-0,1-0-1,132,2,3,2,3,,,,,,,,,,,,
2005-05-20,6,7,13,28,47,5,8,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[6, 7, 13, 28, 47]","[5, 8]",2-1-1-0-1,0-2-0,101,3,2,3,2,,,,,,,,,,,,
2005-05-27,2,24,31,48,50,4,9,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[2, 24, 31, 48, 50]","[4, 9]",1-0-1-1-2,1-0-1,155,1,4,2,3,,,,,,,,,,,,
2005-06-03,3,8,11,17,50,1,5,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 8, 11, 17, 50]","[1, 5]",2-2-0-0-1,1-1-0,89,3,2,4,1,,,,,,,,,,,,
2005-06-10,6,7,32,37,47,1,7,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[6, 7, 32, 37, 47]","[1, 7]",2-0-0-2-1,1-1-0,129,3,2,2,3,,,,,,,,,,,,
2005-06-17,4,8,10,18,21,1,7,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[4, 8, 10, 18, 21]","[1, 7]",3-1-1-0-0,1-1-0,61,1,4,5,0,,,,,,,,,,,,
2005-06-24,6,8,14,15,45,7,8,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[6, 8, 14, 15, 45]","[7, 8]",2-2-0-0-1,0-2-0,88,2,3,4,1,,,,,,,,,,,,
2005-07-01,4,5,23,25,28,3,4,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[4, 5, 23, 25, 28]","[3, 4]",2-0-3-0-0,2-0-0,85,3,2,4,1,,,,,,,,,,,,
2005-07-08,35,36,42,46,49,2,8,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[35, 36, 42, 46, 49]","[2, 8]",0-0-0-2-3,1-1-0,208,2,3,0,5,,,,,,,,,,,,
2005-07-15,1,11,12,23,42,3,6,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 11, 12, 23, 42]","[3, 6]",1-2-1-0-1,1-1-0,89,3,2,4,1,,,,,,,,,,,,
2005-07-22,3,14,41,48,49,1,4,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 14, 41, 48, 49]","[1, 4]",1-1-0-0-3,2-0-0,155,3,2,2,3,,,,,,,,,,,,
2005-07-29,3,19,26,49,50,4,5,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 19, 26, 49, 50]","[4, 5]",1-1-1-0-2,1-1-0,147,3,2,2,3,,,,,,,,,,,,
2005-08-05,2,11,21,22,30,4,6,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[2, 11, 21, 22, 30]","[4, 6]",1-1-3-0-0,1-1-0,86,2,3,4,1,,,,,,,,,,,,
