window,draw_date,strategy,sample_size,best_main_matches,best_star_matches,hit_2_main_or_better,hit_3_main_or_better,hit_2_main_plus_1_star_or_better
Last 60 draws,2026-01-16,Most-common-zone only,1200,3,2,True,True,True
Last 60 draws,2026-01-16,Pure random,1200,1,2,False,False,False
Last 60 draws,2026-01-20,Era 3 diversified random,1200,1,0,False,False,False
Last 60 draws,2026-01-20,Pat-alyzer v2 scored,1200,2,1,True,False,False
Last 60 draws,2026-01-20,Hybrid-zone only,1200,2,1,True,False,True
Last 60 draws,2026-01-20,Most-common-zone only,1200,2,0,True,False,False
Last 60 draws,2026-01-20,Pure random,1200,2,2,True,False,True
Last 60 draws,2026-01-23,Era 3 diversified random,1200,2,1,True,False,False
Last 60 draws,2026-01-23,Pat-alyzer v2 scored,1200,2,1,True,False,False
Last 60 draws,2026-01-23,Hybrid-zone only,1200,2,1,True,False,False
Last 60 draws,2026-01-23,Most-common-zone only,1200,2,2,True,False,False
Last 60 draws,2026-01-23,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-01-27,Era 3 diversified random,1200,2,1,True,False,False
Last 60 draws,2026-01-27,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-01-27,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-01-27,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-01-27,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-01-30,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-01-30,Pat-alyzer v2 scored,1200,0,1,False,False,False
Last 60 draws,2026-01-30,Hybrid-zone only,1200,0,1,False,False,False
Last 60 draws,2026-01-30,Most-common-zone only,1200,0,1,False,False,False
Last 60 draws,2026-01-30,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-02-03,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-02-03,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-02-03,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-03,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-03,Pure random,1200,2,1,True,False,False
Last 60 draws,2026-02-06,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-02-06,Pat-alyzer v2 scored,1200,1,0,False,False,False
Last 60 draws,2026-02-06,Hybrid-zone only,1200,2,1,True,False,False
Last 60 draws,2026-02-06,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-06,Pure random,1200,1,0,False,False,False
Last 60 draws,2026-02-10,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-02-10,Pat-alyzer v2 scored,1200,2,1,True,False,False
Last 60 draws,2026-02-10,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-10,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-10,Pure random,1200,0,1,False,False,False
Last 60 draws,2026-02-13,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-02-13,Pat-alyzer v2 scored,1200,1,2,False,False,False
Last 60 draws,2026-02-13,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-13,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-13,Pure random,1200,1,2,False,False,False
