numbers,stars,zone_signature,hybrid_score,odd_even_score,low_high_score,sum_score,pair_score,triplet_score,gap_overdue_score,star_pattern_score,anti_crowd_score,duplicate_penalty,final_strategy_score,why_selected
"4, 19, 22, 32, 41","5, 10",1-1-1-1-1,94,100,100,100,89,40,100,100,65,0,89,Hybrid 60/40 zone 1-1-1-1-1 | Odd/even 2/3 | Low/high 3/2 | Sum 118 | Avg gap 21.6 | Star zone 0-1-1 | No exact historical duplicate
"1, 17, 24, 32, 43","1, 10",1-1-1-1-1,94,100,100,100,85,40,100,96,65,0,89,Hybrid 60/40 zone 1-1-1-1-1 | Odd/even 3/2 | Low/high 3/2 | Sum 117 | Avg gap 19.6 | Star zone 1-0-1 | No exact historical duplicate
"10, 18, 29, 36, 43","7, 9",1-1-1-1-1,94,100,100,100,82,40,100,100,65,0,89,Hybrid 60/40 zone 1-1-1-1-1 | Odd/even 2/3 | Low/high 2/3 | Sum 136 | Avg gap 15.8 | Star zone 0-1-1 | No exact historical duplicate
"1, 20, 24, 37, 50","1, 4",1-1-1-1-1,94,100,100,100,77,40,100,100,65,0,88,Hybrid 60/40 zone 1-1-1-1-1 | Odd/even 2/3 | Low/high 3/2 | Sum 132 | Avg gap 14.2 | Star zone 2-0-0 | No exact historical duplicate
"4, 18, 23, 36, 43","5, 6",1-1-1-1-1,94,100,100,100,76,40,100,100,65,0,88,Hybrid 60/40 zone 1-1-1-1-1 | Odd/even 2/3 | Low/high 3/2 | Sum 124 | Avg gap 19.4 | Star zone 0-2-0 | No exact historical duplicate
"10, 20, 21, 32, 41","4, 12",1-1-1-1-1,94,100,100,100,74,40,100,96,65,0,88,Hybrid 60/40 zone 1-1-1-1-1 | Odd/even 2/3 | Low/high 3/2 | Sum 124 | Avg gap 21.2 | Star zone 1-0-1 | No exact historical duplicate
"4, 19, 21, 32, 43","5, 8",1-1-1-1-1,94,100,100,100,73,40,100,100,65,0,88,Hybrid 60/40 zone 1-1-1-1-1 | Odd/even 3/2 | Low/high 3/2 | Sum 119 | Avg gap 21.6 | Star zone 0-2-0 | No exact historical duplicate
"1, 19, 21, 32, 50","11, 12",1-1-1-1-1,94,100,100,100,72,40,100,100,65,0,88,Hybrid 60/40 zone 1-1-1-1-1 | Odd/even 3/2 | Low/high 3/2 | Sum 123 | Avg gap 15.2 | Star zone 0-0-2 | No exact historical duplicate
"10, 17, 29, 36, 43","3, 10",1-1-1-1-1,94,100,100,100,77,40,98,96,65,0,88,Hybrid 60/40 zone 1-1-1-1-1 | Odd/even 3/2 | Low/high 2/3 | Sum 135 | Avg gap 11.0 | Star zone 1-0-1 | No exact historical duplicate
"4, 19, 22, 31, 41","3, 12",1-1-1-1-1,94,100,100,100,84,40,100,96,50,0,87,Hybrid 60/40 zone 1-1-1-1-1 | Odd/even 3/2 | Low/high 3/2 | Sum 117 | Avg gap 17.0 | Star zone 1-0-1 | No exact historical duplicate
