ball_machine,draw_count,sample_warning,avg_main_sum,baseline_avg_main_sum,sum_deviation,sum_z_score,sum_p_estimate,avg_low_count,baseline_low_rate,low_rate,low_rate_z_score,low_rate_p_estimate,avg_high_count,baseline_high_rate,high_rate,most_common_zone,baseline_most_common_zone,watch_score,interpretation,caution
14,98,OK,132.58,129.21,3.38,1.073,0.2831,2.4,0.4946,0.4796,-0.664,0.5068,2.6,0.5054,0.5204,1-1-1-1-1,2-0-1-1-1,1.737,Normal statistical range,Exploratory only; multiple comparisons and machine selection timing are not controlled.
15,85,OK,126.32,129.21,-2.89,-0.855,0.3924,2.58,0.4946,0.5153,0.854,0.3932,2.42,0.5054,0.4847,2-0-1-1-1,2-0-1-1-1,1.709,Normal statistical range,Exploratory only; multiple comparisons and machine selection timing are not controlled.
13,94,OK,128.3,129.21,-0.91,-0.283,0.7774,2.46,0.4946,0.4915,-0.134,0.8932,2.54,0.5054,0.5085,1-2-1-0-1,2-0-1-1-1,0.417,Normal statistical range,Exploratory only; multiple comparisons and machine selection timing are not controlled.
