Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2026-04-07;488068;3551857,50;0;0,00;0;113717,30;1;44296,00;7;1254,20;39;123,50;94;60,00;79;45,60;1414;13,90;1908;10,90;4021;10,30;7387;6,50;29382;5,10;61426;4,10
2026-04-03;667809;5172557,50;0;0,00;0;236718,40;0;55324,90;3;1230,80;44;154,30;104;63,50;125;48,30;1866;15,40;2459;12,90;5791;10,10;10050;7,30;38514;6,00;90634;4,10
2026-03-31;500312;3586640,00;0;0,00;0;189523,00;0;22147,30;3;985,40;34;133,00;109;44,30;88;42,40;1830;10,40;2095;10,40;4609;9,20;9803;5,00;32764;4,90;66596;3,90
2026-03-27;642117;4858147,50;0;0,00;0;353647,20;1;27551,00;1;1660,90;36;156,70;108;71,70;98;60,10;1875;14,80;2401;13,30;4733;12,10;10804;6,60;39412;5,80;77258;4,50
2026-03-24;486641;3414732,50;0;0,00;0;172870,70;0;13467,50;4;1301,80;56;86,40;113;45,80;140;31,40;1469;12,60;2278;9,00;5189;7,60;7189;6,70;32182;4,70;71379;3,40
2026-03-20;663799;4938630,00;0;0,00;0;220584,60;0;51554,20;0;2408,60;49;134,60;111;71,30;120;46,30;1683;17,00;2547;12,40;6148;9,80;8725;8,10;37051;5,90;90137;4,00
2026-03-17;505690;3465410,00;0;0,00;2;42063,70;1;7373,20;5;706,60;79;80,30;134;37,50;122;31,00;2115;10,00;2499;9,20;4878;8,70;10322;5,00;31890;5,00;65459;3,90
2026-03-13;733706;5446430,00;0;0,00;0;415147,60;0;38810,70;4;1119,30;58;128,40;157;59,40;173;37,50;2091;14,80;3028;11,50;7143;8,70;11428;7,20;42927;5,70;103443;3,70
2026-03-10;929676;8366450,00;0;209527211,00;0;516689,70;3;24151,70;5;1446,60;115;123,10;230;63,50;238;39,60;3298;15,80;4700;11,70;10961;8,90;16748;7,90;67485;5,70;161372;3,70
2026-03-06;1061893;9604675,00;0;0,00;0;233193,40;3;30278,40;14;1131,70;134;115,30;296;47,50;280;38,80;4502;11,90;6200;10,30;12771;8,80;23131;5,80;83181;5,20;178724;3,90
