draw_date,ball_machine,ball_set,draw_order_1,draw_order_2,draw_order_3,draw_order_4,draw_order_5,star_order_1,star_order_2,source_url,metadata_status,fetched_at
2024-05-31,,,31,,,,,,,https://www.lottery.co.uk/euromillions/results-31-05-2024,parsed_no_machine_fields,2026-06-04T15:11:03.575355+00:00
2024-06-04,,,4,,,,,,,https://www.lottery.co.uk/euromillions/results-04-06-2024,parsed_no_machine_fields,2026-06-04T15:11:04.087630+00:00
2024-06-07,,,7,,,,,,,https://www.lottery.co.uk/euromillions/results-07-06-2024,parsed_no_machine_fields,2026-06-04T15:11:04.621123+00:00
2024-06-11,,,11,,,,,,,https://www.lottery.co.uk/euromillions/results-11-06-2024,parsed_no_machine_fields,2026-06-04T15:11:05.129069+00:00
2024-06-14,,,14,,,,,,,https://www.lottery.co.uk/euromillions/results-14-06-2024,parsed_no_machine_fields,2026-06-04T15:11:05.730429+00:00
2024-06-18,,,18,,,,,,,https://www.lottery.co.uk/euromillions/results-18-06-2024,parsed_no_machine_fields,2026-06-04T15:11:06.339404+00:00
2024-06-21,,,21,,,,,,,https://www.lottery.co.uk/euromillions/results-21-06-2024,parsed_no_machine_fields,2026-06-04T15:11:06.953250+00:00
2024-06-25,,,25,,,,,,,https://www.lottery.co.uk/euromillions/results-25-06-2024,parsed_no_machine_fields,2026-06-04T15:11:07.542076+00:00
2024-06-28,,,28,,,,,,,https://www.lottery.co.uk/euromillions/results-28-06-2024,parsed_no_machine_fields,2026-06-04T15:11:08.048716+00:00
2024-07-02,,,2,,,,,,,https://www.lottery.co.uk/euromillions/results-02-07-2024,parsed_no_machine_fields,2026-06-04T15:11:08.581179+00:00
2024-07-05,,,5,,,,,,,https://www.lottery.co.uk/euromillions/results-05-07-2024,parsed_no_machine_fields,2026-06-04T15:11:09.093390+00:00
2024-07-09,,,9,,,,,,,https://www.lottery.co.uk/euromillions/results-09-07-2024,parsed_no_machine_fields,2026-06-04T15:11:09.576239+00:00
2024-07-12,,,12,,,,,,,https://www.lottery.co.uk/euromillions/results-12-07-2024,parsed_no_machine_fields,2026-06-04T15:11:10.101642+00:00
2024-07-16,,,16,,,,,,,https://www.lottery.co.uk/euromillions/results-16-07-2024,parsed_no_machine_fields,2026-06-04T15:11:10.627542+00:00
